metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,2.954540,2.098793,0.014830,5.359854,3.767671,0.958131,4.672213
A2_abs_r_q95_error,0.003182,0.001843,0.004178,0.005575,0.001634,0.000506,0.004019
A3_abs_r_q99_error,0.004333,0.002769,0.007369,0.006898,0.005207,0.001744,0.000449
A4_tail_qq_error,0.003382,0.001490,0.004152,0.005357,0.001630,0.001651,0.004121
A5_hill_tail_index_error,36.884557,17.052692,40.695268,18.782721,51.750825,15.494826,57.699144
A6_path_mmd2,0.016451,0.012678,0.010294,0.004845,0.027363,0.004249,0.035506
A7_terminal_mmd2,0.026651,0.019223,0.016838,0.010520,0.053739,0.006628,0.045529
A8_increment_mmd2,0.007726,0.004060,0.004753,0.007181,0.011439,0.002176,0.013083
A9_volatility_mmd,0.378902,0.242973,0.164454,0.350416,0.626039,0.070782,0.682820
A10_terminal_swd,2.657666,0.856717,2.303119,2.004151,3.773650,1.637840,3.569571
A11_path_swd,1.416530,0.491351,1.405514,0.901517,2.038688,0.844026,1.892903
A12_rv_law_loss,1.551174,0.378811,1.491386,1.753564,1.826590,0.837325,1.847008
A13_mean_path_rmse,0.528922,0.262376,0.532661,0.218444,0.853578,0.786643,0.253286
A14_ks_logreturns,0.084828,0.037375,0.039973,0.062658,0.125904,0.062754,0.132854
A15_skewness_error,0.340406,0.334387,0.002467,0.447347,0.089081,0.225230,0.937903
A16_qq_rmse,0.002494,0.000643,0.001892,0.002598,0.002760,0.001717,0.003505
A17_terminal_ks,0.112085,0.055591,0.107666,0.057251,0.207397,0.057373,0.130737
A18_disc_score_gru,0.007720,0.005012,0.008087,0.000763,0.003814,0.014800,0.011138
A18_disc_score_mlp,0.103113,0.039524,0.136558,0.034635,0.082240,0.132591,0.129539
A19_pred_score_gru,0.057399,0.001852,0.055327,0.059981,0.059234,0.056027,0.056427
A19_pred_score_mlp,0.056959,0.001208,0.055256,0.058611,0.057133,0.055995,0.057800
A20_cov_error,17.750975,6.707375,8.829970,18.764794,14.807010,29.372983,16.980116
A21_acf_abs,0.125233,0.067380,0.064761,0.104621,0.201073,0.047689,0.208021
A22_acf_sq,0.083885,0.034820,0.044987,0.079290,0.117203,0.047948,0.129998
A23_acf_lag1_abs_error,0.226412,0.103385,0.153712,0.211994,0.366889,0.083993,0.315473
A24_acf_lag1_sq_error,0.171870,0.062594,0.117685,0.200038,0.263371,0.087437,0.190821
A25_mean_rmse,0.738499,0.455217,0.831991,0.389027,1.055957,1.341232,0.074290
A26_std_error,0.151933,0.088789,0.151897,0.237928,0.030223,0.078787,0.260828
A27_logreturn_std_error,0.001685,0.000778,0.002017,0.002329,0.000563,0.000972,0.002544
A28_kurtosis_ratio,-1.094723,3.524668,1.978768,0.136049,0.245063,-8.005304,0.171811
A29_sigma_mean_error,0.030671,0.008873,0.030081,0.037317,0.027343,0.016378,0.042236
A30_vol_path_rmse,0.353357,0.125337,0.222041,0.475205,0.258489,0.532043,0.279007
A31_rolling_vol_ks,0.253986,0.109320,0.187652,0.270466,0.361861,0.080471,0.369478
A32_vol_of_vol_error,0.000897,0.000869,0.000354,0.000275,0.002531,0.000263,0.001061
A33_sigma_corr,0.002117,0.008953,0.001039,0.006885,-0.008229,-0.005686,0.016574
A34_sigma_rmse,0.118298,0.018383,0.101553,0.110785,0.147931,0.100442,0.130780
B_log_ret_hist_funct,89.425092,101.012631,9.065188,19.267954,267.278798,13.981227,137.532290
B_log_ret_hist_der,24.194206,38.759565,1.048142,1.014630,100.553480,0.324764,18.030012
B_log_ret_hist_sec_der,30.593741,53.309463,0.940255,0.396292,136.644451,0.271784,14.715924
B_log_ret_hist_funct_pct,33.418904,6.511810,26.158534,36.783415,32.855869,27.349930,43.946773
B_log_ret_hist_der_pct,2412.494689,3210.160878,720.636944,319.646317,8659.931579,127.497901,2234.760707
B_log_ret_hist_sec_der_pct,72994.192825,24471.791610,83068.030706,35887.533733,102911.552557,89112.502566,53991.344564
B_qq_plot_funct,0.000007,0.000003,0.000004,0.000007,0.000008,0.000003,0.000013
B_qq_plot_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,34.286487,11.189475,20.175834,23.682162,47.698056,33.992358,45.884024
B_qq_plot_der_pct,25.725973,9.145263,15.276402,21.054675,38.759756,19.183111,34.355923
B_qq_plot_sec_der_pct,97.924922,22.996272,88.673877,77.190372,140.860398,81.416679,101.483285
B_acf_abs_r_funct,0.009133,0.008452,0.001810,0.004490,0.016812,0.000935,0.021617
B_acf_abs_r_der,0.000710,0.000458,0.000546,0.000524,0.001044,0.000056,0.001378
B_acf_abs_r_sec_der,0.000632,0.000712,0.000548,0.000263,0.000311,0.000021,0.002017
B_acf_abs_r_funct_pct,163.880601,100.654629,87.815893,111.286014,236.799327,59.021660,324.480112
B_acf_abs_r_der_pct,879.841603,572.099312,753.759795,520.398029,952.176588,249.538867,1923.334737
B_acf_abs_r_sec_der_pct,1298.419291,1220.675583,2007.479649,341.086893,422.422194,338.773483,3382.334234
B_acf_sq_r_funct,0.003761,0.002905,0.000955,0.002770,0.005740,0.000943,0.008395
B_acf_sq_r_der,0.000842,0.000598,0.000445,0.000852,0.000995,0.000070,0.001847
B_acf_sq_r_sec_der,0.001167,0.001477,0.000561,0.000647,0.000507,0.000030,0.004088
B_acf_sq_r_funct_pct,109.564648,60.717579,72.177787,70.399727,104.994919,72.054214,228.196592
B_acf_sq_r_der_pct,902.564847,628.969506,799.432520,534.719749,768.870453,301.745534,2108.055978
B_acf_sq_r_sec_der_pct,3565.963757,4219.362603,4865.461536,550.307530,649.958431,450.624596,11313.466694
B_roll_vol_hist_funct,430.423806,216.694231,274.565527,628.937444,591.180572,79.166649,578.268836
B_roll_vol_hist_der,5.755611,4.211265,2.663623,2.974706,10.431783,1.414471,11.293470
B_roll_vol_hist_sec_der,3.146835,1.498444,3.174259,2.035955,2.564545,1.946797,6.012618
B_roll_vol_hist_funct_pct,56.061608,20.980276,52.542785,71.706817,84.041399,22.655923,49.361116
B_roll_vol_hist_der_pct,196.302217,51.274071,132.930954,204.946819,287.822183,176.976002,178.835128
B_roll_vol_hist_sec_der_pct,630.439048,407.062563,448.189382,342.036076,592.963681,345.241058,1423.765046
B_tail_surv_funct,0.011694,0.009162,0.002668,0.006060,0.021851,0.004118,0.023773
B_tail_surv_der,0.000019,0.000017,0.000003,0.000007,0.000047,0.000005,0.000031
B_tail_surv_sec_der,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000
B_tail_surv_funct_pct,23.600928,6.039918,18.287658,24.464194,25.999382,16.095290,33.158114
B_tail_surv_der_pct,27.643345,13.359694,12.616042,19.284726,44.485154,18.839361,42.991440
B_tail_surv_sec_der_pct,24276.287631,11323.874187,17640.884528,16080.338237,45750.040480,16119.507368,25790.667541
