metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.095430,0.026229,0.117746,0.103542,0.050459,0.083362,0.122040
A2_abs_r_q95_error,0.005393,0.000150,0.005323,0.005456,0.005281,0.005248,0.005658
A3_abs_r_q99_error,0.007327,0.000229,0.007126,0.007489,0.007149,0.007169,0.007699
A4_tail_qq_error,0.005296,0.000150,0.005211,0.005359,0.005186,0.005164,0.005563
A5_hill_tail_index_error,1.426049,0.585570,1.736622,1.047346,0.638061,1.360552,2.347664
A6_path_mmd2,0.003646,0.000416,0.003767,0.003480,0.003718,0.004272,0.002992
A7_terminal_mmd2,0.003605,0.000841,0.002982,0.004824,0.004161,0.003617,0.002441
A8_increment_mmd2,0.008062,0.000711,0.007420,0.008333,0.007393,0.007855,0.009308
A9_volatility_mmd,0.249767,0.016065,0.227465,0.253198,0.239744,0.252737,0.275690
A10_terminal_swd,1.618117,0.276039,1.445728,1.793622,2.063314,1.498307,1.289616
A11_path_swd,1.069331,0.130541,1.078952,0.982788,1.231235,1.181436,0.872248
A12_rv_law_loss,1.920090,0.056326,1.892043,1.946573,1.868518,1.874882,2.018435
A13_mean_path_rmse,0.365416,0.322554,0.197892,0.192696,0.999393,0.125704,0.311395
A14_ks_logreturns,0.053909,0.001972,0.052830,0.054191,0.052933,0.051995,0.057595
A15_skewness_error,0.036813,0.002124,0.038652,0.038016,0.033962,0.034528,0.038907
A16_qq_rmse,0.002576,0.000086,0.002538,0.002612,0.002499,0.002502,0.002726
A17_terminal_ks,0.036670,0.004476,0.030884,0.033569,0.043335,0.040039,0.035522
A18_disc_score_gru,0.063015,0.105646,0.002289,0.002289,0.273573,0.026396,0.010528
A18_disc_score_mlp,0.011382,0.002541,0.010833,0.013274,0.011749,0.014190,0.006866
A19_pred_score_gru,0.050241,0.000019,0.050241,0.050224,0.050231,0.050232,0.050277
A19_pred_score_mlp,0.050253,0.000143,0.050155,0.050137,0.050143,0.050498,0.050334
A20_cov_error,41.545988,5.776463,41.808802,46.669132,31.786808,47.958580,39.506619
A21_acf_abs,0.011262,0.003095,0.009799,0.011735,0.006607,0.012094,0.016076
A22_acf_sq,0.011243,0.002605,0.010180,0.011750,0.007159,0.011964,0.015160
A23_acf_lag1_abs_error,0.022521,0.004755,0.022273,0.021840,0.015721,0.022117,0.030651
A24_acf_lag1_sq_error,0.021680,0.003561,0.021859,0.020034,0.017079,0.021468,0.027962
A25_mean_rmse,0.513880,0.459462,0.342393,0.311181,1.392939,0.055482,0.467403
A26_std_error,0.257952,0.009849,0.255194,0.262144,0.244567,0.253698,0.274156
